Station_ID,Date,Latitude,Longitude,SMAP_Moisture
TXS03,2018-03-29,30.29815,-98.74201,0.283556
TXS03,2018-03-31,30.29815,-98.74201,0.2230495
TXS03,2018-04-03,30.29815,-98.74201,0.1696535
TXS03,2018-04-06,30.29815,-98.74201,0.1261407
TXS03,2018-04-08,30.29815,-98.74201,0.1485802
TXS03,2018-04-11,30.29815,-98.74201,0.1247372
TXS03,2018-04-14,30.29815,-98.74201,0.1590618
TXS03,2018-04-16,30.29815,-98.74201,0.1228465
TXS03,2018-04-19,30.29815,-98.74201,0.1236993
TXS03,2018-04-22,30.29815,-98.74201,0.1714817
TXS03,2018-04-24,30.29815,-98.74201,0.1350972
TXS03,2018-04-27,30.29815,-98.74201,0.2083031
TXS03,2018-04-30,30.29815,-98.74201,0.1589956
TXS03,2018-05-02,30.29815,-98.74201,0.1350332
TXS03,2018-05-08,30.29815,-98.74201,0.204721
TXS03,2018-05-10,30.29815,-98.74201,0.1757501
TXS03,2018-05-13,30.29815,-98.74201,0.1310788
TXS03,2018-05-16,30.29815,-98.74201,0.277706
TXS03,2018-05-18,30.29815,-98.74201,0.1853942
TXS03,2018-05-21,30.29815,-98.74201,0.2384555
TXS03,2018-05-24,30.29815,-98.74201,0.1542687
TXS03,2018-05-26,30.29815,-98.74201,0.1350928
TXS03,2018-06-01,30.29815,-98.74201,0.1082207
TXS03,2018-06-03,30.29815,-98.74201,0.1242767
TXS03,2018-06-06,30.29815,-98.74201,0.146919
TXS03,2018-06-09,30.29815,-98.74201,0.1255774
TXS03,2018-06-11,30.29815,-98.74201,0.1260923
TXS03,2018-06-14,30.29815,-98.74201,0.1232177
TXS03,2018-06-17,30.29815,-98.74201,0.10846
TXS03,2018-06-19,30.29815,-98.74201,0.1386269
TXS03,2018-06-22,30.29815,-98.74201,0.1398481
TXS03,2018-06-25,30.29815,-98.74201,0.0973056
TXS03,2018-06-30,30.29815,-98.74201,0.1016539
TXS03,2018-07-03,30.29815,-98.74201,0.0946092
TXS03,2018-07-05,30.29815,-98.74201,0.2426403
TXS03,2018-07-06,30.29815,-98.74201,0.2132667
TXS03,2018-07-08,30.29815,-98.74201,0.225393
TXS03,2018-07-11,30.29815,-98.74201,0.1854323
TXS03,2018-07-13,30.29815,-98.74201,0.1508864
TXS03,2018-07-14,30.29815,-98.74201,0.1321098
TXS03,2018-07-16,30.29815,-98.74201,0.1152346
TXS03,2018-07-19,30.29815,-98.74201,0.113748
TXS03,2018-07-21,30.29815,-98.74201,0.1215209
TXS03,2018-07-22,30.29815,-98.74201,0.104471
TXS03,2018-07-24,30.29815,-98.74201,0.1099489
TXS03,2018-07-27,30.29815,-98.74201,0.1092063
TXS03,2018-07-29,30.29815,-98.74201,0.1160649
TXS03,2018-08-01,30.29815,-98.74201,0.1363623
TXS03,2018-08-04,30.29815,-98.74201,0.0968408
TXS03,2018-08-06,30.29815,-98.74201,0.1197543
TXS03,2018-08-09,30.29815,-98.74201,0.1067485
TXS03,2018-08-12,30.29815,-98.74201,0.2276756
TXS03,2018-08-14,30.29815,-98.74201,0.2365814
TXS03,2018-08-17,30.29815,-98.74201,0.1677557
TXS03,2018-08-20,30.29815,-98.74201,0.131201
TXS03,2018-08-22,30.29815,-98.74201,0.1367847
TXS03,2018-08-25,30.29815,-98.74201,0.1114081
TXS03,2018-08-28,30.29815,-98.74201,0.0992328
TXS03,2018-08-30,30.29815,-98.74201,0.1137969
TXS03,2018-09-02,30.29815,-98.74201,0.1072738
TXS03,2018-09-05,30.29815,-98.74201,0.2390407
TXS03,2018-09-07,30.29815,-98.74201,0.2815205
TXS03,2018-09-10,30.29815,-98.74201,0.3124359
TXS03,2018-09-13,30.29815,-98.74201,0.2716588
TXS03,2018-09-15,30.29815,-98.74201,0.337484
TXS03,2018-09-18,30.29815,-98.74201,0.303972
TXS03,2018-09-21,30.29815,-98.74201,0.2578476
TXS03,2018-09-23,30.29815,-98.74201,0.2960277
TXS03,2018-09-26,30.29815,-98.74201,0.2463344
TXS03,2018-09-29,30.29815,-98.74201,0.2023078
TXS03,2018-10-01,30.29815,-98.74201,0.2184972
TXS03,2018-10-04,30.29815,-98.74201,0.194703
TXS03,2018-10-07,30.29815,-98.74201,0.167765
TXS03,2018-10-09,30.29815,-98.74201,0.281041
TXS03,2018-10-12,30.29815,-98.74201,0.2309775
TXS03,2018-10-15,30.29815,-98.74201,0.4250622
TXS03,2018-10-17,30.29815,-98.74201,0.3722709
TXS03,2018-10-20,30.29815,-98.74201,0.3197932
